code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
US.ABMT,ADVANCED BIOMEDICAL TECHNOLOGIES,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511842,False,N/A,False,,US_PINK
US.ABNB,Airbnb,1,STOCK,N/A,,N/A,,N/A,N/A,2020-12-10,79809082513430,False,N/A,False,,US_NASDAQ
US.ABOS,Acumen Pharmaceuticals,1,STOCK,N/A,,N/A,,N/A,N/A,2021-07-01,80758270290513,False,N/A,False,,US_NASDAQ
US.ABPO,Abpro Holdings,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,88072599623577,False,N/A,False,,US_PINK
US.ABR.PRD,ARBOR REALTY TRUST INC 6.375% SERIES D CUMULATIVE RED PFD STK,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84572201258981,False,N/A,False,,US_NYSE
US.ABR.PRE,ARBOR REALTY TRUST INC SER E CUM RED PFD SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84572201258982,False,N/A,False,,US_NYSE
US.ABR.PRF,ARBOR REALTY TRUST INC 6.25% SER F FXD/FLTG RATE CUMULATIVE PFD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84572201258983,False,N/A,False,,US_NYSE
US.ABSI,Absci Corp,1,STOCK,N/A,,N/A,,N/A,N/A,2021-07-22,80844169636635,False,N/A,False,,US_NASDAQ
US.ABT,Abbott Laboratories,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,205494,False,N/A,False,,US_NYSE
US.ABTC,American Bitcoin,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,87329570279048,False,N/A,False,,US_NASDAQ
US.ABTI,ALTEROLA BIOTECH INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187270323,False,N/A,False,,US_PINK
US.ABTS,Abits,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84512071716733,False,N/A,False,,US_NASDAQ
US.ABTZY,ABOITIZ EQUITY VENTURE INC UNSPON ADR EA REPR 10 ORD PHP1.00,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187270324,False,N/A,False,,US_PINK
US.ABUS,Arbutus Biopharma,1,STOCK,N/A,,N/A,,N/A,N/A,2015-05-04,211265,False,N/A,False,,US_NASDAQ
US.ABVC,ABVC BioPharma,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80921479048163,False,N/A,False,,US_NASDAQ
US.ABVE,Above Food Ingredients,1,STOCK,N/A,,N/A,,N/A,N/A,2021-04-06,85487029303493,False,N/A,False,,US_NASDAQ
US.ABVG,AFFINITY BEVERAGE GROUP INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84713935180299,False,N/A,False,,US_PINK
US.ABVN,ABV CONSULTING INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,86182814007637,False,N/A,False,,US_PINK
US.ABVX,Abivax S.A.,1,STOCK,N/A,,N/A,,N/A,N/A,2023-10-20,84378927730275,False,N/A,False,,US_NASDAQ
US.ABX,Abacus Global Management,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,87836376372423,False,N/A,False,,US_NYSE
US.ABXL,ABACUS GLOBAL MANAGEMENT INC 9.875% SENIOR NOTES 15/11/2028 USD25,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,87836376421484,False,N/A,False,,US_NYSE
US.ABZPY,ABOITIZ POWER CORPORATION UNSPON ADR EA REPR 20 ORD PHP1.00,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187270325,False,N/A,False,,US_PINK
US.ACA,Arcosa,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,76600741940178,False,N/A,False,,US_NYSE
US.ACAAU,AVERIN CAP ACQUISITION CORP UNIT 1 CL A ORD & 1/6 WT(30/01/2031),1,STOCK,N/A,,N/A,,N/A,N/A,2026-02-19,88055419754344,False,N/A,False,,US_NASDAQ
US.ACAD,ACADIA Pharmaceuticals,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,206147,False,N/A,False,,US_NASDAQ
US.ACAI,SAFEPLUS INTL HLDGS LTD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511779,False,N/A,False,,US_PINK
US.ACAN,AMERICANN INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511456,False,N/A,False,,US_PINK
